asset,description,buildingcode,buildingname,floor,directions
67595,"PL, BOTTLE FILLER WATER FILTER, Helm Building",0595_04_H20,Helm Building,4,4
30509,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",0140_A_A03547,Jadwin Gymnasium,A,A
24985,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",0140,Jadwin Gymnasium,N/A,N/A
24986,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",0140,Jadwin Gymnasium,N/A,N/A
24987,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",0140,Jadwin Gymnasium,N/A,N/A
24988,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",0140,Jadwin Gymnasium,N/A,N/A
24989,"PL, BOTTLE FILLER WATER FILTER, Jadwin Gymnasium",0140,Jadwin Gymnasium,N/A,N/A
24786,"PL, BOTTLE FILLER WATER FILTER, Joline Hall",0059_A_F21,Joline Hall,A,A
68064,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level 3, Pantry - 398",0054_03_L89,Julis Romo Rabinowitz Building,3,PANTRY 398
68063,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level 2, Pantry - 296",0054_02_I96,Julis Romo Rabinowitz Building,2,PANTRY 296
68061,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level A, Lounge - A04",0054_A_C57,Julis Romo Rabinowitz Building,A,LOUNGE A04
68059,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level A, Corridor - A97COR",0054_A_N89,Julis Romo Rabinowitz Building,A,A97COR
68060,"PL, BOTTLE FILLER WATER FILTER, Julis Romo Rabinowitz Building, Level 3, Pantry - 396A",0054_03_J96,Julis Romo Rabinowitz Building,3,PANTRY 396A
63491,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level 2, Corridor - 235CORC",0054,Julis Romo Rabinowitz Building,2,235CORRIDOR
63485,"PL, BOTTLE FILLER WATER FILTER, Julius Romo, Level B, Corridor - B48COR",0054,Julis Romo Rabinowitz Building,B, B48CORRIDOR
63486,"PL, BOTTLE FILLER WATER FILTER, Julius Romo,  Corridor - A30COR",0054,Julis Romo Rabinowitz Building,A,A30CORRIDOR
