asset,description,buildingcode,buildingname,floor,directions
24998,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_02_X43,Bloomberg Hall,2,2
24999,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_03_Y20,Bloomberg Hall,3,3
25000,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_03_Y43,Bloomberg Hall,3,3
25001,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_04_E28,Bloomberg Hall,4,4
25006,"PL, BOTTLE FILLER WATER FILTER, Butler College, Bogle Hall",0695,Bogle Hall,N/A,N/A
24992,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_01_Y25,"Broadmead, 171",1,1
24993,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_A_CC21,"Broadmead, 171",A,A
24994,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_A_DD12,"Broadmead, 171",A,A
24990,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_01_EE14,"Broadmead, 171",1,1
24991,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_01_CC23,"Broadmead, 171",1,1
71311,"PL, BOTTLE FILLER WATER FILTER, #1 Child Care Center",0821_01_S7,"Broadmead, 185",1,1
71312,"PL, BOTTLE FILLER WATER FILTER, #2 Child Care Center",0821_01_YY17,"Broadmead, 185",1,1
24611,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",0014,Brown Hall,N/A,N/A
24612,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",0014,Brown Hall,N/A,N/A
24613,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",0014,Brown Hall,N/A,N/A
24614,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",0014,Brown Hall,N/A,N/A
25002,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_A_X9,Buyers Hall,A,A
25003,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_01_Z17,Buyers Hall,1,1
25004,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_02_S8,Buyers Hall,2,2
25005,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_01_Y18,Buyers Hall,1,1
24794,"PL, BOTTLE FILLER WATER FILTER, Caldwell Field House",0110_01_Y30,Caldwell Field House,1,1
24795,"PL, BOTTLE FILLER WATER FILTER, Caldwell Field House",0110_02_M24,Caldwell Field House,2,2
50692,"PL, BOTTLE FILLER WATER FILTER, Campus Club",0579,Campus Club,N/A,N/A
50693,"PL, BOTTLE FILLER WATER FILTER, Campus Club",0579,Campus Club,N/A,N/A
51775,"PL, BOTTLE FILLER WATER FILTER, Campus Club",0579_A_B13,Campus Club,A,A
92709,"PL, BOTTLE FILLER WATER FILTER, Carl C. Icahn Laboratory",0620_02_X55,Carl C. Icahn Laboratory,2,2
25016,"PL, BOTTLE FILLER WATER FILTER, Chambers Street, 22",0559,"Chambers Street, 22",N/A,N/A
25017,"PL, BOTTLE FILLER WATER FILTER, Chambers Street, 22",0559,"Chambers Street, 22",N/A,N/A
52656,"PL, BOTTLE FILLER WATER FILTER, Class of 1901",0047_00_V8,Class of 1901-Laughlin Hall,0,0
52657,"PL, BOTTLE FILLER WATER FILTER, Class of 1901",0047_00_Q19,Class of 1901-Laughlin Hall,0,0
24784,"PL, BOTTLE FILLER WATER FILTER, Class of 1901 - Laughlin Hall",0047_00_Q22,Class of 1901-Laughlin Hall,0,0
51642,"PL, BOTTLE FILLER WATER FILTER, Class of 1903 Hall",0053_A_X6,Class of 1903 Hall,A,A
24789,"PL, BOTTLE FILLER WATER FILTER, Class of 1915 Hall",0071_A_S35,Class of 1915 Hall,A,A
24963,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - Clapp Hall",0164_03_F13,Class of 1927-Clapp Hall,3,3
24964,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - Clapp Hall",0164_02_E13,Class of 1927-Clapp Hall,2,2
24965,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - CLAPP HALL",0164_01_F17,Class of 1927-Clapp Hall,1,1
24966,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - CLAPP HALL",0164,Class of 1927-Clapp Hall,,
19153,"PL, BOTTLE FILLER WATER FILTER, Class of 1939 Hall",0093_A_G5,Class of 1939 Hall,A,A
24970,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_01_LL28,Class of 1967 Hall,1,1
24971,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_01_LL25,Class of 1967 Hall,1,1
24972,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_02_LL28,Class of 1967 Hall,2,2
24973,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_03_LL28,Class of 1967 Hall,3,3
24974,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_03_GG29,Class of 1967 Hall,3,3
24975,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_01_NN17,Class of 1967 Hall,1,1
90942,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F200A",0668_02_QQQQ54,Class of 1981 Hall,2,2
90945,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F100B",0668_01_QQQQ54,Class of 1981 Hall,1,1
90943,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F400A",0668_04_QQQQ54,Class of 1981 Hall,4,4
90944,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F300A",0668_03_QQQQ54,Class of 1981 Hall,3,3
90939,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Laundry FB11",0668_A_VVVV52,Class of 1981 Hall,A,A
90948,"PL, BOTTLE FILLER WATER FILTER, Community Hall, Hallway H000",0675_00_DDD48,Community Hall,0,0
24983,"PL, BOTTLE FILLER WATER FILTER, Computer Science Building",0167_04_C29,Computer Science Building,4,4
24984,"PL, BOTTLE FILLER WATER FILTER, Computer Science Building",0167_03_C29,Computer Science Building,3,3
25014,"PL, BOTTLE FILLER WATER FILTER, Corwin Hall",0085_01_W13,Corwin Hall,1,1
25015,"PL, BOTTLE FILLER WATER FILTER, Corwin Hall",0085_02_D5,Corwin Hall,2,2
24775,"PL, BOTTLE FILLER WATER FILTER, Cuyler Hall",0030_A_G19,Cuyler Hall,A,A
56115,"PL, BOTTLE FILLER WATER FILTER, DeNunzio Pool (DECK)",0170,DeNunzio Pool,DECK,DECK
25012,"PL, BOTTLE FILLER WATER FILTER, DeNunzio Pool",0170_01_D25,DeNunzio Pool,1,1
25013,"PL, BOTTLE FILLER WATER FILTER, DeNunzio Pool",0170_A_D28,DeNunzio Pool,A,A
57801,"PL, BOTTLE FILLER WATER FILTER, 2 Dickinson Street",0060_01_G5,"Dickinson Street, 2",1,1
68276,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym (located near Vending A20)",0067,Dillon Gymnasium,N/A,NEAR VENDING A20
68275,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym (located near Vending A36)",0067,Dillon Gymnasium,N/A,NEAR VENDING A36
89218,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym",0067_01_V50,Dillon Gymnasium,1,1
24787,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym",0067_B_G16,Dillon Gymnasium,B,B
24788,"PL, BOTTLE FILLER WATER FILTER, Dillon Gym",0067,Dillon Gymnasium,N/A,N/A
91920,"PL, BOTTLE FILLER WATER FILTER, Dod Hall",0012_A_G26,Dod Hall,A,A
91921,"PL, BOTTLE FILLER WATER FILTER, Dod Hall",0012_A_G12,Dod Hall,A,A
24729,"PL, BOTTLE FILLER WATER FILTER, Dodge Hall",0020,Dodge Hall,N/A,N/A
