asset,description,buildingcode,building
24806,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_01_H50,1976 Hall
24807,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_02_H50,1976 Hall
24808,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_02_S68,1976 Hall
24809,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_03_S68,1976 Hall
24810,"PL, BOTTLE FILLER WATER FILTER, Butler College, 1976 Hall",0703_03_H50,1976 Hall
24532,"PL, BOTTLE FILLER WATER FILTER, Aaron Burr Hall",13,Aaron Burr Hall
24533,"PL, BOTTLE FILLER WATER FILTER, Aaron Burr Hall",13,Aaron Burr Hall
24534,"PL, BOTTLE FILLER WATER FILTER, Aaron Burr Hall",13,Aaron Burr Hall
68981,"PL, BOTTLE FILLER WATER FILTER, Alexander Road, 693",0691_02_T50,"Alexander Road, 693"
69007,"PL, BOTTLE FILLER WATER FILTER, Alexander Road, 693",0691_01_H31,"Alexander Road, 693"
59392,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_01_C15,"Alexander Street, 294"
59393,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_01_C15,"Alexander Street, 294"
59394,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_02_C18,"Alexander Street, 294"
59395,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_02_C18,"Alexander Street, 294"
59396,"PL, BOTTLE FILLER WATER FILTER, Alexander Street, 294",0664_02_E18,"Alexander Street, 294"
67430,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_02_ZZ36,Andlinger Center
67426,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_00_AAA35,Andlinger Center
67428,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_1L_ZZ36,Andlinger Center
67427,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_00_TT31,Andlinger Center
67429,"SF-EQ, BOTTLE FILLER WATER FILTER, Andlinger Center",0729_1L_Y53,Andlinger Center
72129,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_06_PP8,Arts Tower
72119,"PL, BOTTLE FILLER WATER FILTER, Arts Tower, Level 4, Corridor",0753_04_MM8,Arts Tower
72123,"PL, BOTTLE FILLER WATER FILTER, Arts Tower, Level 2",0753_02_KK10,Arts Tower
72134,"PL, BOTTLE FILLER WATER FILTER, ""CONCESSION STAND""- LCA",0753_00_EE13,Arts Tower
72348,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_0M_KK9,Arts Tower
72349,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_02_KK10,Arts Tower
72121,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_02_KK10,Arts Tower
72120,"PL, BOTTLE FILLER WATER FILTER, LCA",0753_06_LL9,Arts Tower
90938,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S400",0686_04_NNNN7,Baker Hall 'S'
90935,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S100",0686_01_LLLL8,Baker Hall 'S'
90937,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S300",0686_03_LLLL8,Baker Hall 'S'
90936,"PL, BOTTLE FILLER WATER FILTER, Baker Hall ""S"", Hallway S200",0686_02_LLLL8,Baker Hall 'S'
54504,"PL, BOTTLE FILLER WATER FILTER, Baker Rink",0041_A_EE7,Baker Rink
54503,"PL, BOTTLE FILLER WATER FILTER, Baker Rink",0041_A_N4,Baker Rink
24782,"PL, BOTTLE FILLER WATER FILTER, Baker Rink",0041_01_R7,Baker Rink
24751,"PL, BOTTLE FILLER WATER FILTER, Berlind Theatre",0645_00_I14,Berlind Theater
24753,"PL, BOTTLE FILLER WATER FILTER, Berlind Theatre",0645_01_N5,Berlind Theater
24754,"PL, BOTTLE FILLER WATER FILTER, Berlind Theatre",0645_01_N5,Berlind Theater
24622,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_A_XX9,Blair Hall
24617,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_A_AA31,Blair Hall
24618,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_01_X59,Blair Hall
24619,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_02_AA11,Blair Hall
24620,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_02_AA56,Blair Hall
24621,"PL, BOTTLE FILLER WATER FILTER, Blair Hall",0019_03_DD61,Blair Hall
24995,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_01_P45,Bloomberg Hall
24996,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_01_S49,Bloomberg Hall
24997,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_02_Y20,Bloomberg Hall
24998,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_02_X43,Bloomberg Hall
24999,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_03_Y20,Bloomberg Hall
25000,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_03_Y43,Bloomberg Hall
25001,"PL, BOTTLE FILLER WATER FILTER, Bloomberg Hall",0627_04_E28,Bloomberg Hall
25006,"PL, BOTTLE FILLER WATER FILTER, Butler College, Bogle Hall",695,Bogle Hall
24992,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_01_Y25,"Broadmead, 171"
24993,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_A_CC21,"Broadmead, 171"
24994,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_A_DD12,"Broadmead, 171"
24990,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_01_EE14,"Broadmead, 171"
24991,"PL, BOTTLE FILLER WATER FILTER, Broadmead, 171",0124_01_CC23,"Broadmead, 171"
71311,"PL, BOTTLE FILLER WATER FILTER, #1 Child Care Center",0821_01_S7,"Broadmead, 185"
71312,"PL, BOTTLE FILLER WATER FILTER, #2 Child Care Center",0821_01_YY17,"Broadmead, 185"
24611,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",14,Brown Hall
24612,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",14,Brown Hall
24613,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",14,Brown Hall
24614,"PL, BOTTLE FILLER WATER FILTER, Brown Hall",14,Brown Hall
25002,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_A_X9,Buyers Hall
25003,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_01_Z17,Buyers Hall
25004,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_02_S8,Buyers Hall
25005,"PL, BOTTLE FILLER WATER FILTER, Buyers Hall",0631_01_Y18,Buyers Hall
24794,"PL, BOTTLE FILLER WATER FILTER, Caldwell Field House",0110_01_Y30,Caldwell Field House
24795,"PL, BOTTLE FILLER WATER FILTER, Caldwell Field House",0110_02_M24,Caldwell Field House
50692,"PL, BOTTLE FILLER WATER FILTER, Campus Club",579,Campus Club
50693,"PL, BOTTLE FILLER WATER FILTER, Campus Club",579,Campus Club
51775,"PL, BOTTLE FILLER WATER FILTER, Campus Club",0579_A_B13,Campus Club
92709,"PL, BOTTLE FILLER WATER FILTER, Carl C. Icahn Laboratory",0620_02_X55,Carl C. Icahn Laboratory
25016,"PL, BOTTLE FILLER WATER FILTER, Chambers Street, 22",559,"Chambers Street, 22"
25017,"PL, BOTTLE FILLER WATER FILTER, Chambers Street, 22",559,"Chambers Street, 22"
52656,"PL, BOTTLE FILLER WATER FILTER, Class of 1901",0047_00_V8,Class of 1901-Laughlin Hall
52657,"PL, BOTTLE FILLER WATER FILTER, Class of 1901",0047_00_Q19,Class of 1901-Laughlin Hall
24784,"PL, BOTTLE FILLER WATER FILTER, Class of 1901 - Laughlin Hall",0047_00_Q22,Class of 1901-Laughlin Hall
51642,"PL, BOTTLE FILLER WATER FILTER, Class of 1903 Hall",0053_A_X6,Class of 1903 Hall
24789,"PL, BOTTLE FILLER WATER FILTER, Class of 1915 Hall",0071_A_S35,Class of 1915 Hall
24963,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - Clapp Hall",0164_03_F13,Class of 1927-Clapp Hall
24964,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - Clapp Hall",0164_02_E13,Class of 1927-Clapp Hall
24965,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - CLAPP HALL",0164_01_F17,Class of 1927-Clapp Hall
24966,"PL, BOTTLE FILLER WATER FILTER, Class of 1927 Hall - CLAPP HALL",164,Class of 1927-Clapp Hall
19153,"PL, BOTTLE FILLER WATER FILTER, Class of 1939 Hall",0093_A_G5,Class of 1939 Hall
24970,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_01_LL28,Class of 1967 Hall
24971,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_01_LL25,Class of 1967 Hall
24972,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_02_LL28,Class of 1967 Hall
24973,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_03_LL28,Class of 1967 Hall
24974,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_03_GG29,Class of 1967 Hall
24975,"PL, BOTTLE FILLER WATER FILTER, Class of 1967 Hall",0694_01_NN17,Class of 1967 Hall
90942,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F200A",0668_02_QQQQ54,Class of 1981 Hall
90945,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F100B",0668_01_QQQQ54,Class of 1981 Hall
90943,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F400A",0668_04_QQQQ54,Class of 1981 Hall
90944,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Hallway F300A",0668_03_QQQQ54,Class of 1981 Hall
90939,"PL, BOTTLE FILLER WATER FILTER, Class of 1981 Hall, Laundry FB11",0668_A_VVVV52,Class of 1981 Hall
90948,"PL, BOTTLE FILLER WATER FILTER, Community Hall, Hallway H000",0675_00_DDD48,Community Hall
24983,"PL, BOTTLE FILLER WATER FILTER, Computer Science Building",0167_04_C29,Computer Science Building
24984,"PL, BOTTLE FILLER WATER FILTER, Computer Science Building",0167_03_C29,Computer Science Building
